OTU,Kingdom,Phylum,Class,Order,Family,Genus,Species
Uniq98565,Bacteria,Actinobacteria,Actinobacteria,unk_Order_of_Class_Actinobacteria__Uniq98565,unk_Family_of_Class_Actinobacteria__Uniq98565,unk_Genus_of_Class_Actinobacteria__Uniq98565,unk_Species_of_Class_Actinobacteria__Uniq98565
Uniq89241,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,unk_Species_of_Genus_Achromobacter__Uniq89241
Uniq93269,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unk_Genus_of_Family_Lachnospiraceae__Uniq93269,unk_Species_of_Family_Lachnospiraceae__Uniq93269
Uniq57306,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,unk_Species_of_Genus_Parabacteroides__Uniq57306
Uniq111900,Bacteria,Verrucomicrobia,unk_Class_of_Phylum_Verrucomicrobia__Uniq111900,unk_Order_of_Phylum_Verrucomicrobia__Uniq111900,unk_Family_of_Phylum_Verrucomicrobia__Uniq111900,unk_Genus_of_Phylum_Verrucomicrobia__Uniq111900,unk_Species_of_Phylum_Verrucomicrobia__Uniq111900
Uniq33287,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales_Incertae_Sedis,Reyranella,unk_Species_of_Genus_Reyranella__Uniq33287
Uniq92627,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,Enterobacter
Uniq92077,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,unk_Species_of_Genus_Haemophilus__Uniq92077
Uniq94616,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,unk_Species_of_Genus_Veillonella__Uniq94616
Uniq56821,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,unk_Species_of_Genus_Veillonella__Uniq56821
Uniq63612,Bacteria,Proteobacteria,unk_Class_of_Phylum_Proteobacteria__Uniq63612,unk_Order_of_Phylum_Proteobacteria__Uniq63612,unk_Family_of_Phylum_Proteobacteria__Uniq63612,unk_Genus_of_Phylum_Proteobacteria__Uniq63612,unk_Species_of_Phylum_Proteobacteria__Uniq63612
Uniq90995,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera,unk_Species_of_Genus_Megasphaera__Uniq90995
Uniq95443,Bacteria,Proteobacteria,unk_Class_of_Phylum_Proteobacteria__Uniq95443,unk_Order_of_Phylum_Proteobacteria__Uniq95443,unk_Family_of_Phylum_Proteobacteria__Uniq95443,unk_Genus_of_Phylum_Proteobacteria__Uniq95443,unk_Species_of_Phylum_Proteobacteria__Uniq95443
Uniq104070,Bacteria,Proteobacteria,Gammaproteobacteria,unk_Order_of_Class_Gammaproteobacteria__Uniq104070,unk_Family_of_Class_Gammaproteobacteria__Uniq104070,unk_Genus_of_Class_Gammaproteobacteria__Uniq104070,unk_Species_of_Class_Gammaproteobacteria__Uniq104070
Uniq8928,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Pseudogracilibacillus,unk_Species_of_Genus_Pseudogracilibacillus__Uniq8928
Uniq32390,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Trichococcus,unk_Species_of_Genus_Trichococcus__Uniq32390
Uniq91713,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,unk_Species_of_Genus_Klebsiella__Uniq91713
Uniq3686,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Sutterella,Sutterella_wadsworthensis
Uniq80743,Bacteria,Actinobacteria,unk_Class_of_Phylum_Actinobacteria__Uniq80743,unk_Order_of_Phylum_Actinobacteria__Uniq80743,unk_Family_of_Phylum_Actinobacteria__Uniq80743,unk_Genus_of_Phylum_Actinobacteria__Uniq80743,unk_Species_of_Phylum_Actinobacteria__Uniq80743
Uniq98901,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Paraburkholderia,Burkholderia
Uniq27,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,unk_Genus_of_Family_Enterobacteriaceae__Uniq27,unk_Species_of_Family_Enterobacteriaceae__Uniq27
Uniq102046,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Paraburkholderia,unk_Species_of_Genus_Burkholderia-Paraburkholderia__Uniq102046
Uniq34284,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium_1,Corynebacterium_falsenii
Uniq76659,Bacteria,Firmicutes,unk_Class_of_Phylum_Firmicutes__Uniq76659,unk_Order_of_Phylum_Firmicutes__Uniq76659,unk_Family_of_Phylum_Firmicutes__Uniq76659,unk_Genus_of_Phylum_Firmicutes__Uniq76659,unk_Species_of_Phylum_Firmicutes__Uniq76659
Uniq112776,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter_aegrifaciens
Uniq2238,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,unk_Species_of_Genus_Enterococcus__Uniq2238
Uniq85681,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter,Yokenella
Uniq49460,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales_Incertae_Sedis,Reyranella,Reyranella_massiliensis
Uniq52982,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,unk_Species_of_Genus_Corynebacterium__Uniq52982
Uniq42132,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,Veillonella
Uniq92420,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_faecalis
Uniq98574,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_faecalis
Uniq116158,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,unk_Species_of_Genus_Enterococcus__Uniq116158
Uniq1237,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Negativicoccus,Negativicoccus_succinicivorans
Uniq85012,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,unk_Species_of_Genus_Achromobacter__Uniq85012
Uniq81678,Bacteria,Firmicutes,unk_Class_of_Phylum_Firmicutes__Uniq81678,unk_Order_of_Phylum_Firmicutes__Uniq81678,unk_Family_of_Phylum_Firmicutes__Uniq81678,unk_Genus_of_Phylum_Firmicutes__Uniq81678,unk_Species_of_Phylum_Firmicutes__Uniq81678
Uniq64768,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,unk_Species_of_Genus_Bacteroides__Uniq64768
Uniq69804,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,unk_Species_of_Genus_Enterobacter__Uniq69804
Uniq2232,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,unk_Species_of_Genus_Aeromonas__Uniq2232
Uniq75147,Bacteria,Firmicutes,Negativicutes,unk_Order_of_Class_Negativicutes__Uniq75147,unk_Family_of_Class_Negativicutes__Uniq75147,unk_Genus_of_Class_Negativicutes__Uniq75147,unk_Species_of_Class_Negativicutes__Uniq75147
Uniq2594,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Flavonifractor,unk_Species_of_Genus_Flavonifractor__Uniq2594
Uniq109045,Bacteria,Firmicutes,unk_Class_of_Phylum_Firmicutes__Uniq109045,unk_Order_of_Phylum_Firmicutes__Uniq109045,unk_Family_of_Phylum_Firmicutes__Uniq109045,unk_Genus_of_Phylum_Firmicutes__Uniq109045,unk_Species_of_Phylum_Firmicutes__Uniq109045
Uniq83618,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,unk_Species_of_Genus_Veillonella__Uniq83618
Uniq99471,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,unk_Species_of_Genus_Veillonella__Uniq99471
Uniq14410,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria,Kocuria
Uniq98948,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,unk_Species_of_Genus_Staphylococcus__Uniq98948
Uniq32648,Bacteria,Chloroflexi,unk_Class_of_Phylum_Chloroflexi__Uniq32648,unk_Order_of_Phylum_Chloroflexi__Uniq32648,unk_Family_of_Phylum_Chloroflexi__Uniq32648,unk_Genus_of_Phylum_Chloroflexi__Uniq32648,unk_Species_of_Phylum_Chloroflexi__Uniq32648
Uniq99161,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,unk_Species_of_Genus_Bacteroides__Uniq99161
Uniq113454,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,unk_Species_of_Genus_Veillonella__Uniq113454
Uniq95415,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_epidermidis
Uniq97610,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter,Citrobacter
Uniq14057,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia
Uniq42612,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Paeniclostridium,Paeniclostridium_sordellii
Uniq103469,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,unk_Species_of_Genus_Enterobacter__Uniq103469
Uniq93135,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_epidermidis
Uniq63258,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,unk_Species_of_Genus_Escherichia-Shigella__Uniq63258
Uniq36547,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_massiliensis
Uniq86406,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,unk_Species_of_Genus_Veillonella__Uniq86406
Uniq38907,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,unk_Species_of_Genus_Bacillus__Uniq38907
Uniq60213,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_faecalis
Uniq50856,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,unk_Species_of_Genus_Enterococcus__Uniq50856
Uniq96418,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_epidermidis
Uniq101919,Bacteria,Firmicutes,unk_Class_of_Phylum_Firmicutes__Uniq101919,unk_Order_of_Phylum_Firmicutes__Uniq101919,unk_Family_of_Phylum_Firmicutes__Uniq101919,unk_Genus_of_Phylum_Firmicutes__Uniq101919,unk_Species_of_Phylum_Firmicutes__Uniq101919
Uniq26,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,unk_Species_of_Genus_Blautia__Uniq26
Uniq93,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_1,Clostridium_neonatale
Uniq89045,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,unk_Species_of_Genus_Bacteroides__Uniq89045
Uniq100832,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,unk_Species_of_Genus_Veillonella__Uniq100832
Uniq52766,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoanaerobaculum,unk_Species_of_Genus_Lachnoanaerobaculum__Uniq52766
Uniq32516,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,Veillonella
Uniq55996,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,unk_Species_of_Genus_Lachnoclostridium__Uniq55996
Uniq82690,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas
Uniq36886,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter_aegrifaciens
Uniq27271,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoanaerobaculum,unk_Species_of_Genus_Lachnoanaerobaculum__Uniq27271
Uniq76036,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,unk_Species_of_Genus_Escherichia-Shigella__Uniq76036
Uniq110893,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,unk_Species_of_Genus_Bacteroides__Uniq110893
Uniq31722,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,unk_Species_of_Genus_Lactobacillus__Uniq31722
Uniq96772,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_epidermidis
Uniq98625,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,Enterobacter
Uniq47544,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,unk_Species_of_Genus_Blautia__Uniq47544
Uniq4672,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Eggerthella,Eggerthella_lenta
Uniq89364,Bacteria,Firmicutes,unk_Class_of_Phylum_Firmicutes__Uniq89364,unk_Order_of_Phylum_Firmicutes__Uniq89364,unk_Family_of_Phylum_Firmicutes__Uniq89364,unk_Genus_of_Phylum_Firmicutes__Uniq89364,unk_Species_of_Phylum_Firmicutes__Uniq89364
Uniq868,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Flavonifractor,Flavonifractor_plautii
Uniq375,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus
Uniq83100,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,unk_Species_of_Genus_Veillonella__Uniq83100
Uniq1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_epidermidis
Uniq21079,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_1,unk_Species_of_Genus_Clostridium_sensu_stricto_1__Uniq21079
Uniq91143,Bacteria,Firmicutes,Clostridia,unk_Order_of_Class_Clostridia__Uniq91143,unk_Family_of_Class_Clostridia__Uniq91143,unk_Genus_of_Class_Clostridia__Uniq91143,unk_Species_of_Class_Clostridia__Uniq91143
Uniq17651,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,unk_Genus_of_Family_Comamonadaceae__Uniq17651,unk_Species_of_Family_Comamonadaceae__Uniq17651
Uniq106292,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-010,unk_Species_of_Genus_Ruminococcaceae_UCG-010__Uniq106292
Uniq16906,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera,Megasphaera
Uniq99430,Bacteria,Proteobacteria,unk_Class_of_Phylum_Proteobacteria__Uniq99430,unk_Order_of_Phylum_Proteobacteria__Uniq99430,unk_Family_of_Phylum_Proteobacteria__Uniq99430,unk_Genus_of_Phylum_Proteobacteria__Uniq99430,unk_Species_of_Phylum_Proteobacteria__Uniq99430
Uniq32099,Bacteria,Firmicutes,unk_Class_of_Phylum_Firmicutes__Uniq32099,unk_Order_of_Phylum_Firmicutes__Uniq32099,unk_Family_of_Phylum_Firmicutes__Uniq32099,unk_Genus_of_Phylum_Firmicutes__Uniq32099,unk_Species_of_Phylum_Firmicutes__Uniq32099
Uniq84672,Bacteria,Firmicutes,unk_Class_of_Phylum_Firmicutes__Uniq84672,unk_Order_of_Phylum_Firmicutes__Uniq84672,unk_Family_of_Phylum_Firmicutes__Uniq84672,unk_Genus_of_Phylum_Firmicutes__Uniq84672,unk_Species_of_Phylum_Firmicutes__Uniq84672
Uniq77242,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,unk_Species_of_Genus_Veillonella__Uniq77242
Uniq116063,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,unk_Species_of_Genus_Veillonella__Uniq116063
Uniq38910,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,unk_Species_of_Genus_Escherichia-Shigella__Uniq38910
Uniq18411,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium_limosum_KIST612
Uniq78474,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,unk_Species_of_Genus_Escherichia-Shigella__Uniq78474
Uniq87016,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,unk_Species_of_Genus_Veillonella__Uniq87016
Uniq95245,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,unk_Species_of_Genus_Staphylococcus__Uniq95245
Uniq59345,Bacteria,Firmicutes,unk_Class_of_Phylum_Firmicutes__Uniq59345,unk_Order_of_Phylum_Firmicutes__Uniq59345,unk_Family_of_Phylum_Firmicutes__Uniq59345,unk_Genus_of_Phylum_Firmicutes__Uniq59345,unk_Species_of_Phylum_Firmicutes__Uniq59345
Uniq1697,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,unk_Species_of_Genus_Anaerostipes__Uniq1697
Uniq106775,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_dentium
Uniq89940,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,unk_Species_of_Genus_Staphylococcus__Uniq89940
Uniq105640,Bacteria,Firmicutes,unk_Class_of_Phylum_Firmicutes__Uniq105640,unk_Order_of_Phylum_Firmicutes__Uniq105640,unk_Family_of_Phylum_Firmicutes__Uniq105640,unk_Genus_of_Phylum_Firmicutes__Uniq105640,unk_Species_of_Phylum_Firmicutes__Uniq105640
Uniq92582,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,unk_Species_of_Genus_Veillonella__Uniq92582
Uniq109257,Bacteria,Actinobacteria,unk_Class_of_Phylum_Actinobacteria__Uniq109257,unk_Order_of_Phylum_Actinobacteria__Uniq109257,unk_Family_of_Phylum_Actinobacteria__Uniq109257,unk_Genus_of_Phylum_Actinobacteria__Uniq109257,unk_Species_of_Phylum_Actinobacteria__Uniq109257
Uniq60705,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,unk_Species_of_Genus_Escherichia-Shigella__Uniq60705
Uniq61528,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_faecalis
Uniq47246,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,unk_Species_of_Genus_Lactobacillus__Uniq47246
Uniq115283,Bacteria,Actinobacteria,unk_Class_of_Phylum_Actinobacteria__Uniq115283,unk_Order_of_Phylum_Actinobacteria__Uniq115283,unk_Family_of_Phylum_Actinobacteria__Uniq115283,unk_Genus_of_Phylum_Actinobacteria__Uniq115283,unk_Species_of_Phylum_Actinobacteria__Uniq115283
Uniq113412,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_epidermidis
Uniq23452,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_oris
Uniq15536,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,unk_Species_of_Genus_Aeromonas__Uniq15536
Uniq104856,Bacteria,Actinobacteria,unk_Class_of_Phylum_Actinobacteria__Uniq104856,unk_Order_of_Phylum_Actinobacteria__Uniq104856,unk_Family_of_Phylum_Actinobacteria__Uniq104856,unk_Genus_of_Phylum_Actinobacteria__Uniq104856,unk_Species_of_Phylum_Actinobacteria__Uniq104856
Uniq71136,Bacteria,Proteobacteria,unk_Class_of_Phylum_Proteobacteria__Uniq71136,unk_Order_of_Phylum_Proteobacteria__Uniq71136,unk_Family_of_Phylum_Proteobacteria__Uniq71136,unk_Genus_of_Phylum_Proteobacteria__Uniq71136,unk_Species_of_Phylum_Proteobacteria__Uniq71136
Uniq17816,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,unk_Species_of_Genus_Klebsiella__Uniq17816
Uniq98944,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,unk_Species_of_Genus_Staphylococcus__Uniq98944
Uniq107763,Bacteria,Proteobacteria,Gammaproteobacteria,unk_Order_of_Class_Gammaproteobacteria__Uniq107763,unk_Family_of_Class_Gammaproteobacteria__Uniq107763,unk_Genus_of_Class_Gammaproteobacteria__Uniq107763,unk_Species_of_Class_Gammaproteobacteria__Uniq107763
Uniq116240,Bacteria,Proteobacteria,unk_Class_of_Phylum_Proteobacteria__Uniq116240,unk_Order_of_Phylum_Proteobacteria__Uniq116240,unk_Family_of_Phylum_Proteobacteria__Uniq116240,unk_Genus_of_Phylum_Proteobacteria__Uniq116240,unk_Species_of_Phylum_Proteobacteria__Uniq116240
Uniq75416,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,unk_Species_of_Genus_Veillonella__Uniq75416
Uniq89549,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Paraburkholderia,Burkholderia_cenocepacia
Uniq4085,Bacteria,Cyanobacteria,Chloroplast,Allium_cepa_(onion),unk_Family_of_Order_Allium_cepa_(onion)__Uniq4085,unk_Genus_of_Order_Allium_cepa_(onion)__Uniq4085,unk_Species_of_Order_Allium_cepa_(onion)__Uniq4085
Uniq99681,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,unk_Species_of_Genus_Bifidobacterium__Uniq99681
Uniq115622,Bacteria,Actinobacteria,Actinobacteria,unk_Order_of_Class_Actinobacteria__Uniq115622,unk_Family_of_Class_Actinobacteria__Uniq115622,unk_Genus_of_Class_Actinobacteria__Uniq115622,unk_Species_of_Class_Actinobacteria__Uniq115622
Uniq97485,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_epidermidis
Uniq20607,Bacteria,Actinobacteria,unk_Class_of_Phylum_Actinobacteria__Uniq20607,unk_Order_of_Phylum_Actinobacteria__Uniq20607,unk_Family_of_Phylum_Actinobacteria__Uniq20607,unk_Genus_of_Phylum_Actinobacteria__Uniq20607,unk_Species_of_Phylum_Actinobacteria__Uniq20607
Uniq56633,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,Veillonella
Uniq15956,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium_1,unk_Species_of_Genus_Corynebacterium_1__Uniq15956
Uniq117,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_1,Clostridium_tertium
Uniq23352,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,unk_Species_of_Genus_Klebsiella__Uniq23352
Uniq226,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,unk_Species_of_Genus_Parabacteroides__Uniq226
Uniq78707,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,Veillonella
Uniq24,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_bifidum
Uniq86578,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,Veillonella
Uniq87749,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,unk_Species_of_Genus_Veillonella__Uniq87749
Uniq41,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,unk_Genus_of_Family_Enterobacteriaceae__Uniq41,unk_Species_of_Family_Enterobacteriaceae__Uniq41
Uniq94939,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,Klebsiella_pneumoniae
Uniq96786,Bacteria,Cyanobacteria,Chloroplast,Alstroemeria_aurea,unk_Family_of_Order_Alstroemeria_aurea__Uniq96786,unk_Genus_of_Order_Alstroemeria_aurea__Uniq96786,unk_Species_of_Order_Alstroemeria_aurea__Uniq96786
Uniq107775,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,unk_Species_of_Genus_Veillonella__Uniq107775
Uniq12944,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas
Uniq2529,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Clostridium_innocuum_group,unk_Species_of_Genus_Clostridium_innocuum_group__Uniq2529
Uniq110125,Bacteria,Proteobacteria,unk_Class_of_Phylum_Proteobacteria__Uniq110125,unk_Order_of_Phylum_Proteobacteria__Uniq110125,unk_Family_of_Phylum_Proteobacteria__Uniq110125,unk_Genus_of_Phylum_Proteobacteria__Uniq110125,unk_Species_of_Phylum_Proteobacteria__Uniq110125
Uniq8967,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,unk_Species_of_Genus_Blautia__Uniq8967
Uniq106380,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,unk_Species_of_Genus_Enterococcus__Uniq106380
Uniq95556,Bacteria,Firmicutes,Negativicutes,unk_Order_of_Class_Negativicutes__Uniq95556,unk_Family_of_Class_Negativicutes__Uniq95556,unk_Genus_of_Class_Negativicutes__Uniq95556,unk_Species_of_Class_Negativicutes__Uniq95556
Uniq83171,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_epidermidis
Uniq83417,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,unk_Species_of_Genus_Klebsiella__Uniq83417
Uniq86412,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Paraburkholderia,Burkholderia_cenocepacia
Uniq16716,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,unk_Species_of_Genus_Enterobacter__Uniq16716
Uniq88204,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,Veillonella
Uniq77556,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,unk_Species_of_Genus_Veillonella__Uniq77556
